Distance_Meters,Youbike_Station,Metro_Station
2100,Longmen Square,MRT Taipei 101 World Trade Center
1700,Longmen Square,MRT Taipei City Hall
3900,Longmen Square,MRT Taipower Building
2200,Longmen Square,MRT Technology Building
5000,Longmen Square,MRT Wanlong
5300,Longmen Square,MRT Xinhai
1200,Longmen Square,MRT Xinyi Anhe
160,Longmen Square,MRT Zhongxiao Dunhua
160,Longmen Square,MRT Zhongxiao Fuxing
1700,Longmen Square,MRT Zhongxiao Xinsheng
3600,Keelung & Changxing Intersection,MRT Chiang Kai-Shek Memorial Hall
1800,Keelung & Changxing Intersection,MRT Daan
2500,Keelung & Changxing Intersection,MRT Daan Park
3000,Keelung & Changxing Intersection,MRT Dongmen
1100,Keelung & Changxing Intersection,MRT Gongguan
2600,Keelung & Changxing Intersection,MRT Guting
3100,Keelung & Changxing Intersection,MRT Jingmei
1800,Keelung & Changxing Intersection,MRT Linguang
1100,Keelung & Changxing Intersection,MRT Liuzhangli
4000,Keelung & Changxing Intersection,MRT Nanjing Fuxing
4700,Keelung & Changxing Intersection,MRT Shandao Temple
4700,Keelung & Changxing Intersection,MRT Songjiang Nanjing
3300,Keelung & Changxing Intersection,MRT Sun Yat-Sen Memorial Hall
2600,Keelung & Changxing Intersection,MRT Taipei 101 World Trade Center
3600,Keelung & Changxing Intersection,MRT Taipei City Hall
1800,Keelung & Changxing Intersection,MRT Taipower Building
1100,Keelung & Changxing Intersection,MRT Technology Building
2000,Keelung & Changxing Intersection,MRT Wanlong
3000,Keelung & Changxing Intersection,MRT Xinhai
2300,Keelung & Changxing Intersection,MRT Xinyi Anhe
3000,Keelung & Changxing Intersection,MRT Zhongxiao Dunhua
3000,Keelung & Changxing Intersection,MRT Zhongxiao Fuxing
3500,Keelung & Changxing Intersection,MRT Zhongxiao Xinsheng
2600,MRT Gongguan Sta.(Exit 2),MRT Chiang Kai-Shek Memorial Hall
2700,MRT Gongguan Sta.(Exit 2),MRT Daan
2300,MRT Gongguan Sta.(Exit 2),MRT Daan Park
2400,MRT Gongguan Sta.(Exit 2),MRT Dongmen
16,MRT Gongguan Sta.(Exit 2),MRT Gongguan
1700,MRT Gongguan Sta.(Exit 2),MRT Guting
2600,MRT Gongguan Sta.(Exit 2),MRT Jingmei
2900,MRT Gongguan Sta.(Exit 2),MRT Linguang
2200,MRT Gongguan Sta.(Exit 2),MRT Liuzhangli
4800,MRT Gongguan Sta.(Exit 2),MRT Nanjing Fuxing
4200,MRT Gongguan Sta.(Exit 2),MRT Shandao Temple
4400,MRT Gongguan Sta.(Exit 2),MRT Songjiang Nanjing
4400,MRT Gongguan Sta.(Exit 2),MRT Sun Yat-Sen Memorial Hall
3800,MRT Gongguan Sta.(Exit 2),MRT Taipei 101 World Trade Center
4800,MRT Gongguan Sta.(Exit 2),MRT Taipei City Hall
850,MRT Gongguan Sta.(Exit 2),MRT Taipower Building
1900,MRT Gongguan Sta.(Exit 2),MRT Technology Building
1600,MRT Gongguan Sta.(Exit 2),MRT Wanlong
3900,MRT Gongguan Sta.(Exit 2),MRT Xinhai
3400,MRT Gongguan Sta.(Exit 2),MRT Xinyi Anhe
4000,MRT Gongguan Sta.(Exit 2),MRT Zhongxiao Dunhua
4000,MRT Gongguan Sta.(Exit 2),MRT Zhongxiao Fuxing
3100,MRT Gongguan Sta.(Exit 2),MRT Zhongxiao Xinsheng
